date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-04-09,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-04-09,Holistic Transition,member_12,32900.0,11280.0,21620.0
2035-04-09,Holistic Transition,member_13,32900.0,11280.0,21620.0
2035-06-06,Electric Engagement,member_13,32900.0,11280.0,21620.0
2035-05-18,Electric Engagement,member_06,32430.0,10810.0,21620.0
2035-03-07,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-05-18,Electric Engagement,member_12,32430.0,10810.0,21620.0
2035-05-18,Electric Engagement,member_13,32430.0,10810.0,21620.0
2035-05-18,Holistic Transition,member_06,32430.0,10810.0,21620.0
2035-05-18,Holistic Transition,member_13,32430.0,10810.0,21620.0
2035-03-07,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-03-07,Electric Engagement,member_13,32900.0,11280.0,21620.0
2035-03-07,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-03-01,Electric Engagement,member_06,32430.0,10810.0,21620.0
2035-10-13,Electric Engagement,member_13,32900.0,11280.0,21620.0
2036-01-08,Electric Engagement,member_13,32900.0,11280.0,21620.0
2035-10-13,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-10-13,Holistic Transition,member_13,32900.0,11280.0,21620.0
2035-01-26,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-02-07,Electric Engagement,member_06,32900.0,11280.0,21620.0
2036-01-04,Electric Engagement,member_12,31960.0,10340.0,21620.0
2035-02-17,Electric Engagement,member_13,30942.742,9322.741,21620.0
2036-01-14,Electric Engagement,member_12,32430.0,10810.0,21620.0
2036-01-14,Electric Engagement,member_13,32430.0,10810.0,21620.0
2035-10-13,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-10-13,Holistic Transition,member_12,32900.0,11280.0,21620.0
2035-02-07,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-10-13,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-02-18,Holistic Transition,member_12,32430.0,10810.0,21620.0
2035-02-16,Electric Engagement,member_06,32430.0,10810.0,21620.0
2035-01-26,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-02-07,Electric Engagement,member_12,32900.0,11280.0,21620.0
2036-01-08,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-04-11,Electric Engagement,member_12,32399.656,10810.0,21589.656
2035-01-26,Electric Engagement,member_13,32703.688,11280.0,21423.688
2035-04-19,Electric Engagement,member_12,32575.125,11280.0,21295.125
2035-08-01,Electric Engagement,member_13,31914.348,10634.881,21279.467
2035-04-23,Holistic Transition,member_06,32430.0,11280.0,21150.0
2035-04-23,Holistic Transition,member_12,32430.0,11280.0,21150.0
2035-02-20,Electric Engagement,member_06,32430.0,11280.0,21150.0
2035-04-23,Holistic Transition,member_13,32430.0,11280.0,21150.0
2035-02-15,Electric Engagement,member_06,31490.0,10340.0,21150.0
2035-01-25,Holistic Transition,member_13,31490.0,10340.0,21150.0
2035-04-23,Electric Engagement,member_12,32430.0,11280.0,21150.0
2035-01-25,Holistic Transition,member_12,31490.0,10340.0,21150.0
2035-01-25,Holistic Transition,member_06,31490.0,10340.0,21150.0
2035-01-25,Electric Engagement,member_13,31490.0,10340.0,21150.0
2035-01-25,Electric Engagement,member_12,31490.0,10340.0,21150.0
2035-01-25,Electric Engagement,member_06,31490.0,10340.0,21150.0
2035-10-17,Electric Engagement,member_06,31020.0,9870.0,21150.0
2035-04-23,Electric Engagement,member_13,32430.0,11280.0,21150.0
2035-05-23,Holistic Transition,member_06,31490.0,10340.0,21150.0
2035-04-23,Electric Engagement,member_06,32430.0,11280.0,21150.0
2035-02-20,Electric Engagement,member_12,32430.0,11280.0,21150.0
2035-02-06,Holistic Transition,member_12,32430.0,11280.0,21150.0
2035-02-06,Holistic Transition,member_06,32430.0,11280.0,21150.0
2035-02-06,Electric Engagement,member_12,32430.0,11280.0,21150.0
2035-02-06,Electric Engagement,member_06,32430.0,11280.0,21150.0
2035-04-03,Electric Engagement,member_12,31960.0,10810.0,21150.0
